id,name,address,latitude,longitude,operator,hours_json,amenities,avg_rating,visit_count
51,Pena Herrera Playground,Park | POINT (-74.0121 40.64939),40.649390,-74.012100,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms""}",0,0
52,Ten Eyck Playground,Park | POINT (-73.9389 40.70903),40.709030,-73.938900,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
53,"Countee Cullen Library, NYPL",Library | POINT (-73.941162 40.814844),40.814844,-73.941162,NYPL,"{""mon"": ""11:00-19:00"", ""tue"": ""11:00-19:00"", ""wed"": ""11:00-19:00"", ""thu"": ""11:00-19:00"", ""fri"": ""11:00-17:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Both Single-Stall All Gender and Multi-Stall W/M"",""Please note that the ADA lift is out of order at Countee Cullen Library. We apologize for any inconvenience."",""Changing Stations""}",0,0
54,Van Cortlandt Classic Playground,Park | POINT (-73.8906 40.8852),40.885200,-73.890600,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
55,Douglaston Golf Course,Park | POINT (-73.732671 40.752189),40.752189,-73.732671,NYC Parks Concessionaire,"{""mon"": ""Closed"", ""tue"": ""06:00-20:00"", ""wed"": ""06:00-20:00"", ""thu"": ""06:00-20:00"", ""fri"": ""06:00-20:00"", ""sat"": ""06:00-20:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms""}",0,0
56,Rosewood Playground,Park | POINT (-73.8711 40.87298),40.872980,-73.871100,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations, in women's restroom only""}",0,0
57,"Mosholu Library, NYPL",Library | POINT (-73.878386 40.874388),40.874388,-73.878386,NYPL,"{""mon"": ""11:00-19:00"", ""tue"": ""11:00-19:00"", ""wed"": ""11:00-19:00"", ""thu"": ""11:00-19:00"", ""fri"": ""10:00-17:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Both Single-Stall All Gender and Multi-Stall W/M"",""Changing Stations, in single-stall all gender restroom only""}",0,0
58,Poppenhusen Playground,Park | POINT (-73.8445 40.78142),40.781420,-73.844500,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms""}",0,0
59,Barretto Point Park,Park | POINT (-73.8886 40.80591),40.805910,-73.888600,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
60,Brevoort Playground,Park | POINT (-73.9227 40.68068),40.680680,-73.922700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Partially Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
61,Twenty-Four Sycamores Park,Park | POINT (-73.9589 40.75942),40.759420,-73.958900,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Status: Not Operational"",""Changing Stations""}",0,0
62,"Riverdale Library, NYPL",Library | POINT (-73.902774 40.903731),40.903731,-73.902774,NYPL,"{""mon"": ""10:00-18:00"", ""tue"": ""22:00-18:00"", ""wed"": ""10:00-18:00"", ""thu"": ""22:00-18:00"", ""fri"": ""10:00-17:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)""}",0,0
63,Baisley Park South Playground,Park | POINT (-73.7887 40.66913),40.669130,-73.788700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
64,John Hancock Playground,Park | POINT (-73.955236 40.682231),40.682231,-73.955236,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Status: Not Operational""}",0,0
65,Beach 30th Street Playground,Park | POINT (-73.7627 40.59244),40.592440,-73.762700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
66,Kennedy King Playground,Park | POINT (-73.9218 40.6587),40.658700,-73.921800,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
67,Sheltering Arms Playground,Park | POINT (-73.956 40.81534),40.815340,-73.956000,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
